dataset,iteration,model,type,sol_name,age_mean_diff,age_eq_opp_diff,age_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
bank-full,27,rf,Baseline,Baseline,0.133,0.15,0.117,0.133,0.15,0.117,0.906,0.727,0.8,0.69,1.882538,50121.76171875
bank-full,27,svm,Baseline,Baseline,0.086,0.031,0.048,0.086,0.031,0.048,0.899,0.686,0.786,0.647,0.088998,3.455078125
bank-full,27,xgb,Baseline,Baseline,0.152,0.108,0.108,0.152,0.108,0.108,0.906,0.755,0.782,0.734,0.17893,329.0166015625
bank-full,28,lr,Baseline,Baseline,0.114,0.147,0.104,0.114,0.147,0.104,0.899,0.689,0.772,0.652,0.022938,3.576171875
bank-full,28,rf,Baseline,Baseline,0.076,0.08,0.052,0.076,0.08,0.052,0.906,0.715,0.795,0.676,1.843056,50075.04296875
bank-full,28,svm,Baseline,Baseline,0.074,0.116,0.069,0.074,0.116,0.069,0.899,0.672,0.78,0.634,0.095567,3.455078125
bank-full,28,xgb,Baseline,Baseline,0.114,0.01,0.045,0.114,0.01,0.045,0.905,0.744,0.776,0.721,0.183637,342.9609375
bank-full,29,lr,Baseline,Baseline,0.136,0.232,0.151,0.136,0.232,0.151,0.903,0.701,0.78,0.663,0.023603,3.576171875
bank-full,29,rf,Baseline,Baseline,0.103,0.136,0.092,0.103,0.136,0.092,0.908,0.727,0.795,0.69,1.869823,50075.04296875
bank-full,29,svm,Baseline,Baseline,0.095,0.199,0.115,0.095,0.199,0.115,0.901,0.682,0.783,0.643,0.08091,3.455078125
bank-full,29,xgb,Baseline,Baseline,0.135,0.147,0.109,0.135,0.147,0.109,0.91,0.759,0.787,0.737,0.18363,329.8798828125
bank-full,30,lr,Baseline,Baseline,0.133,0.127,0.103,0.133,0.127,0.103,0.902,0.698,0.779,0.661,0.025806,3.576171875
bank-full,30,rf,Baseline,Baseline,0.15,0.188,0.132,0.15,0.188,0.132,0.903,0.712,0.78,0.677,1.858902,50191.29296875
bank-full,30,svm,Baseline,Baseline,0.09,0.039,0.048,0.09,0.039,0.048,0.901,0.682,0.784,0.643,0.095935,3.455078125
bank-full,30,xgb,Baseline,Baseline,0.166,0.141,0.115,0.166,0.141,0.115,0.909,0.758,0.781,0.74,0.180052,335.19921875
