dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
mep,16,lr,Baseline,Baseline,-0.058,-0.055,-0.044,-0.037,-0.071,-0.044,-0.098,-0.14,-0.097,0.859,0.688,0.772,0.656,0.023977,2.888671875
mep,16,rf,Baseline,Baseline,-0.037,0.021,0.001,-0.027,-0.063,-0.035,-0.07,-0.058,-0.044,0.863,0.703,0.777,0.671,0.727925,25424.6484375
mep,16,svm,Baseline,Baseline,-0.046,-0.032,-0.029,-0.024,-0.042,-0.025,-0.074,-0.073,-0.055,0.858,0.677,0.773,0.645,0.069046,2.767578125
mep,16,xgb,Baseline,Baseline,-0.056,-0.025,-0.028,-0.041,-0.093,-0.055,-0.105,-0.154,-0.103,0.86,0.713,0.759,0.687,0.154299,340.0966796875
mep,17,lr,Baseline,Baseline,-0.072,-0.113,-0.072,-0.042,-0.113,-0.063,-0.117,-0.287,-0.165,0.862,0.714,0.788,0.682,0.021807,2.888671875
mep,17,rf,Baseline,Baseline,-0.055,-0.058,-0.039,-0.028,-0.07,-0.037,-0.089,-0.208,-0.116,0.861,0.714,0.786,0.682,0.721053,25319.6484375
mep,17,svm,Baseline,Baseline,-0.056,-0.084,-0.051,-0.027,-0.068,-0.037,-0.088,-0.215,-0.12,0.86,0.701,0.789,0.668,0.068799,2.767578125
mep,17,xgb,Baseline,Baseline,-0.084,-0.113,-0.077,-0.041,-0.087,-0.052,-0.126,-0.242,-0.149,0.854,0.719,0.757,0.696,0.150615,339.4931640625
mep,18,lr,Baseline,Baseline,-0.071,-0.13,-0.081,-0.031,-0.047,-0.028,-0.097,-0.165,-0.102,0.866,0.703,0.778,0.671,0.022684,2.888671875
mep,18,rf,Baseline,Baseline,-0.048,-0.026,-0.024,-0.031,-0.02,-0.016,-0.076,-0.065,-0.049,0.863,0.708,0.763,0.68,0.731923,25582.7734375
mep,18,svm,Baseline,Baseline,-0.059,-0.096,-0.06,-0.021,-0.023,-0.013,-0.075,-0.105,-0.065,0.863,0.694,0.771,0.662,0.069294,2.767578125
mep,18,xgb,Baseline,Baseline,-0.073,-0.062,-0.053,-0.048,-0.111,-0.063,-0.116,-0.182,-0.12,0.856,0.709,0.743,0.687,0.159293,336.7724609375
