dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,age_mean_diff,age_eq_opp_diff,age_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
german,17,lr,Baseline,Baseline,-0.161,-0.126,-0.135,-0.245,-0.198,-0.182,-0.308,-0.264,-0.239,0.744,0.668,0.692,0.658,0.005706,4.4931640625
german,17,rf,Baseline,Baseline,-0.074,-0.048,-0.047,-0.113,-0.04,-0.06,-0.12,-0.042,-0.058,0.744,0.647,0.696,0.636,0.086514,2660.1806640625
german,17,svm,Baseline,Baseline,-0.169,-0.117,-0.151,-0.26,-0.193,-0.196,-0.329,-0.256,-0.262,0.748,0.677,0.696,0.667,0.006889,4.3720703125
german,17,xgb,Baseline,Baseline,-0.133,-0.137,-0.088,-0.173,-0.095,-0.121,-0.24,-0.2,-0.166,0.731,0.648,0.672,0.639,0.128473,191.5048828125
german,18,lr,Baseline,Baseline,-0.077,-0.059,-0.084,-0.001,-0.035,0.062,-0.063,-0.095,-0.012,0.731,0.654,0.668,0.646,0.005252,4.4931640625
german,18,rf,Baseline,Baseline,-0.063,-0.041,-0.073,-0.036,-0.002,0.013,-0.055,-0.038,-0.019,0.761,0.668,0.717,0.654,0.079418,2676.5869140625
german,18,svm,Baseline,Baseline,-0.076,-0.04,-0.096,-0.039,-0.035,0.01,-0.103,-0.086,-0.073,0.724,0.642,0.658,0.635,0.006241,4.3720703125
german,18,xgb,Baseline,Baseline,-0.101,-0.074,-0.114,-0.024,0.035,0.021,-0.069,-0.02,-0.04,0.751,0.671,0.696,0.661,0.132694,192.5830078125
german,19,lr,Baseline,Baseline,-0.072,-0.057,-0.01,-0.12,-0.07,-0.06,-0.162,-0.111,-0.064,0.744,0.674,0.709,0.663,0.005269,4.4931640625
german,19,rf,Baseline,Baseline,-0.057,-0.011,-0.021,-0.06,0.05,-0.016,-0.098,0.023,-0.028,0.738,0.648,0.707,0.638,0.073501,2692.5244140625
german,19,svm,Baseline,Baseline,-0.069,-0.044,-0.014,-0.101,-0.026,-0.044,-0.137,-0.044,-0.043,0.744,0.671,0.71,0.66,0.007101,4.3720703125
german,19,xgb,Baseline,Baseline,-0.073,-0.013,-0.028,0.067,0.143,0.134,0.05,0.13,0.132,0.748,0.686,0.71,0.676,0.123534,187.1376953125
german,20,lr,Baseline,Baseline,-0.116,-0.09,-0.062,-0.038,-0.013,0.063,-0.122,-0.043,0.003,0.764,0.72,0.74,0.71,0.00521,4.4931640625
german,20,rf,Baseline,Baseline,-0.015,-0.058,0.051,0.057,-0.018,0.135,0.049,-0.017,0.159,0.741,0.66,0.731,0.651,0.073377,2715.1806640625
german,20,svm,Baseline,Baseline,-0.122,-0.112,-0.063,-0.042,-0.013,0.057,-0.128,-0.051,-0.002,0.761,0.715,0.736,0.705,0.004134,4.3720703125
german,20,xgb,Baseline,Baseline,-0.047,-0.067,0.02,-0.114,-0.149,-0.025,-0.135,-0.16,-0.015,0.744,0.696,0.714,0.687,0.117349,189.5263671875
german,21,lr,Baseline,Baseline,-0.068,-0.018,-0.036,-0.132,-0.116,-0.075,-0.157,-0.11,-0.097,0.741,0.685,0.702,0.676,0.005059,4.4931640625
