dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
adult,24,svm,Baseline,Baseline,-0.177,-0.072,-0.072,-0.102,-0.094,-0.067,-0.217,-0.139,-0.113,0.852,0.784,0.815,0.764,0.184756,6.5869140625
adult,24,xgb,Baseline,Baseline,-0.176,-0.027,-0.044,-0.098,-0.034,-0.036,-0.226,-0.15,-0.116,0.868,0.812,0.833,0.797,0.183951,265.9794921875
adult,25,lr,Baseline,Baseline,-0.178,-0.092,-0.083,-0.093,-0.046,-0.039,-0.219,-0.225,-0.155,0.848,0.783,0.803,0.768,0.043387,6.7080078125
adult,25,rf,Baseline,Baseline,-0.182,-0.043,-0.063,-0.102,-0.068,-0.052,-0.23,-0.205,-0.15,0.852,0.791,0.806,0.779,1.191319,59084.1484375
adult,25,svm,Baseline,Baseline,-0.171,-0.083,-0.076,-0.09,-0.038,-0.034,-0.21,-0.216,-0.146,0.848,0.782,0.805,0.766,0.233718,6.5869140625
adult,25,xgb,Baseline,Baseline,-0.183,-0.077,-0.072,-0.099,-0.04,-0.036,-0.224,-0.222,-0.147,0.869,0.815,0.832,0.802,0.184017,260.8681640625
adult,26,lr,Baseline,Baseline,-0.184,-0.07,-0.073,-0.103,-0.073,-0.058,-0.228,-0.071,-0.083,0.853,0.791,0.807,0.779,0.043495,6.7080078125
adult,26,rf,Baseline,Baseline,-0.187,-0.07,-0.073,-0.103,-0.057,-0.051,-0.235,-0.156,-0.125,0.858,0.8,0.814,0.789,1.183081,59452.7421875
adult,26,svm,Baseline,Baseline,-0.179,-0.067,-0.069,-0.097,-0.06,-0.049,-0.221,-0.067,-0.077,0.855,0.794,0.813,0.78,0.192397,6.5869140625
adult,26,xgb,Baseline,Baseline,-0.199,-0.09,-0.082,-0.099,-0.048,-0.042,-0.239,-0.128,-0.107,0.872,0.821,0.833,0.811,0.18714,253.36328125
adult,27,lr,Baseline,Baseline,-0.175,-0.047,-0.062,-0.086,-0.083,-0.058,-0.209,-0.122,-0.105,0.849,0.784,0.807,0.768,0.045254,6.7080078125
adult,27,rf,Baseline,Baseline,-0.189,-0.09,-0.086,-0.089,-0.065,-0.052,-0.229,-0.131,-0.117,0.851,0.791,0.808,0.778,1.175908,58716.3359375
adult,27,svm,Baseline,Baseline,-0.168,-0.027,-0.05,-0.08,-0.068,-0.048,-0.2,-0.112,-0.095,0.851,0.786,0.813,0.768,0.202978,6.5869140625
adult,27,xgb,Baseline,Baseline,-0.184,-0.054,-0.063,-0.086,-0.069,-0.049,-0.226,-0.136,-0.113,0.866,0.812,0.83,0.798,0.189414,270.6982421875
adult,28,lr,Baseline,Baseline,-0.183,-0.087,-0.082,-0.094,-0.063,-0.052,-0.233,-0.086,-0.091,0.847,0.783,0.804,0.768,0.046714,6.7080078125
adult,28,rf,Baseline,Baseline,-0.192,-0.055,-0.072,-0.1,-0.025,-0.039,-0.253,-0.073,-0.096,0.846,0.787,0.799,0.777,1.170819,58414.7734375
adult,28,svm,Baseline,Baseline,-0.177,-0.066,-0.07,-0.091,-0.052,-0.045,-0.227,-0.046,-0.07,0.847,0.783,0.806,0.767,0.185272,6.5869140625
adult,28,xgb,Baseline,Baseline,-0.189,-0.063,-0.067,-0.098,-0.046,-0.044,-0.245,-0.08,-0.087,0.865,0.812,0.826,0.8,0.182249,257.48046875
adult,29,lr,Baseline,Baseline,-0.183,-0.114,-0.095,-0.105,-0.036,-0.04,-0.23,-0.199,-0.144,0.843,0.777,0.803,0.76,0.051117,6.7080078125
adult,29,rf,Baseline,Baseline,-0.195,-0.107,-0.097,-0.106,-0.006,-0.026,-0.242,-0.187,-0.143,0.845,0.783,0.803,0.769,1.19878,57972.5859375
adult,29,svm,Baseline,Baseline,-0.174,-0.091,-0.081,-0.1,-0.011,-0.026,-0.218,-0.157,-0.119,0.843,0.776,0.805,0.758,0.450354,6.5869140625
adult,29,xgb,Baseline,Baseline,-0.189,-0.125,-0.095,-0.112,-0.064,-0.05,-0.231,-0.237,-0.151,0.864,0.81,0.831,0.795,0.176586,257.7451171875
adult,30,lr,Baseline,Baseline,-0.199,-0.113,-0.102,-0.114,-0.072,-0.062,-0.255,-0.28,-0.195,0.847,0.784,0.807,0.768,0.045367,6.7080078125
adult,30,rf,Baseline,Baseline,-0.193,-0.053,-0.068,-0.109,-0.059,-0.05,-0.251,-0.266,-0.182,0.857,0.802,0.817,0.789,1.182319,59050.5546875
adult,30,svm,Baseline,Baseline,-0.192,-0.1,-0.092,-0.108,-0.064,-0.055,-0.248,-0.275,-0.189,0.849,0.786,0.812,0.769,0.192422,6.5869140625
adult,30,xgb,Baseline,Baseline,-0.193,-0.057,-0.066,-0.101,-0.03,-0.032,-0.249,-0.241,-0.165,0.869,0.819,0.836,0.806,0.183583,252.3701171875
