dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
adult,23,rf,in,GF,-0.159,-0.122,-0.092,-0.073,-0.014,-0.019,-0.184,-0.113,-0.091,0.83,0.741,0.793,0.717,0.884802,16985.478515625
adult,23,svm,in,GF,-0.164,-0.115,-0.089,-0.093,-0.047,-0.042,-0.197,-0.119,-0.098,0.834,0.751,0.793,0.729,0.898705,6.5771484375
adult,23,xgb,in,GF,-0.161,-0.108,-0.086,-0.088,-0.033,-0.034,-0.195,-0.079,-0.08,0.831,0.746,0.791,0.723,0.18842,284.9072265625
adult,24,lr,in,GF,-0.151,-0.059,-0.059,-0.083,-0.07,-0.05,-0.18,-0.041,-0.057,0.839,0.756,0.806,0.73,0.033778,6.6748046875
adult,24,rf,in,GF,-0.15,-0.083,-0.071,-0.078,-0.069,-0.047,-0.176,-0.08,-0.075,0.836,0.747,0.806,0.72,0.842045,16551.728515625
adult,24,svm,in,GF,-0.151,-0.063,-0.06,-0.084,-0.065,-0.048,-0.18,-0.042,-0.057,0.839,0.755,0.805,0.73,1.006249,6.5771484375
adult,24,xgb,in,GF,-0.152,-0.082,-0.069,-0.08,-0.059,-0.044,-0.181,-0.078,-0.075,0.84,0.755,0.81,0.729,0.201877,279.994140625
adult,25,lr,in,GF,-0.153,-0.126,-0.091,-0.073,-0.04,-0.03,-0.18,-0.216,-0.138,0.835,0.751,0.795,0.728,0.035217,6.6748046875
adult,25,rf,in,GF,-0.147,-0.127,-0.091,-0.072,-0.063,-0.04,-0.17,-0.228,-0.141,0.831,0.74,0.792,0.715,0.86659,16497.353515625
adult,25,svm,in,GF,-0.155,-0.129,-0.094,-0.073,-0.043,-0.031,-0.182,-0.219,-0.14,0.835,0.751,0.794,0.729,0.828999,6.5771484375
adult,25,xgb,in,GF,-0.153,-0.128,-0.093,-0.076,-0.043,-0.033,-0.178,-0.209,-0.135,0.834,0.748,0.794,0.724,0.196897,275.8798828125
adult,26,lr,in,GF,-0.158,-0.082,-0.07,-0.088,-0.098,-0.063,-0.189,-0.041,-0.056,0.845,0.768,0.806,0.746,0.03989,6.6748046875
adult,26,rf,in,GF,-0.152,-0.115,-0.084,-0.076,-0.09,-0.054,-0.174,-0.101,-0.078,0.84,0.756,0.804,0.731,0.86206,16785.166015625
adult,26,svm,in,GF,-0.159,-0.08,-0.07,-0.084,-0.094,-0.059,-0.186,-0.042,-0.055,0.844,0.767,0.804,0.746,0.692284,6.5771484375
adult,26,xgb,in,GF,-0.16,-0.103,-0.082,-0.08,-0.072,-0.049,-0.187,-0.073,-0.071,0.842,0.762,0.803,0.739,0.194034,286.5693359375
adult,27,lr,in,GF,-0.15,-0.05,-0.057,-0.078,-0.108,-0.066,-0.183,-0.156,-0.114,0.837,0.755,0.802,0.731,0.035302,6.6748046875
adult,27,rf,in,GF,-0.148,-0.089,-0.074,-0.07,-0.09,-0.055,-0.174,-0.14,-0.103,0.834,0.747,0.8,0.722,0.869726,16838.291015625
adult,27,svm,in,GF,-0.151,-0.055,-0.06,-0.078,-0.104,-0.065,-0.184,-0.157,-0.115,0.837,0.755,0.8,0.731,0.806438,6.5771484375
adult,27,xgb,in,GF,-0.148,-0.057,-0.059,-0.076,-0.086,-0.057,-0.178,-0.11,-0.091,0.837,0.754,0.803,0.729,0.198025,285.8388671875
adult,28,lr,in,GF,-0.154,-0.061,-0.063,-0.077,-0.071,-0.048,-0.199,-0.115,-0.097,0.834,0.753,0.796,0.731,0.035888,6.6748046875
adult,28,rf,in,GF,-0.147,-0.086,-0.071,-0.07,-0.062,-0.042,-0.184,-0.122,-0.094,0.832,0.746,0.798,0.721,0.886074,16564.072265625
adult,28,svm,in,GF,-0.156,-0.065,-0.065,-0.077,-0.064,-0.045,-0.2,-0.118,-0.099,0.834,0.754,0.796,0.732,0.708103,6.5771484375
adult,28,xgb,in,GF,-0.154,-0.065,-0.064,-0.081,-0.071,-0.05,-0.197,-0.086,-0.081,0.837,0.757,0.803,0.733,0.192913,278.4619140625
adult,29,lr,in,GF,-0.148,-0.075,-0.066,-0.094,-0.041,-0.04,-0.186,-0.078,-0.074,0.831,0.747,0.797,0.723,0.034203,6.6748046875
adult,29,rf,in,GF,-0.139,-0.087,-0.069,-0.087,-0.075,-0.051,-0.174,-0.148,-0.101,0.828,0.739,0.797,0.714,0.873391,16771.884765625
adult,29,svm,in,GF,-0.149,-0.071,-0.065,-0.096,-0.044,-0.043,-0.188,-0.081,-0.076,0.83,0.748,0.796,0.724,0.953339,6.5771484375
adult,29,xgb,in,GF,-0.143,-0.081,-0.066,-0.09,-0.06,-0.046,-0.177,-0.077,-0.068,0.83,0.746,0.798,0.722,0.189764,287.5654296875
adult,30,lr,in,GF,-0.168,-0.114,-0.092,-0.101,-0.104,-0.071,-0.214,-0.265,-0.175,0.835,0.755,0.802,0.731,0.035532,6.6748046875
adult,30,rf,in,GF,-0.16,-0.139,-0.101,-0.085,-0.087,-0.056,-0.195,-0.26,-0.165,0.832,0.744,0.801,0.719,0.850918,16268.916015625
adult,30,svm,in,GF,-0.168,-0.112,-0.091,-0.1,-0.1,-0.069,-0.213,-0.266,-0.175,0.835,0.755,0.801,0.732,0.94342,6.5771484375
adult,30,xgb,in,GF,-0.165,-0.122,-0.095,-0.093,-0.076,-0.056,-0.207,-0.231,-0.157,0.834,0.752,0.802,0.727,0.198379,283.048828125
adult,1,lr,in,MF,-0.073,-0.098,-0.117,0.037,-0.013,0.0,-0.025,-0.115,-0.105,0.389,0.36,0.406,0.376,0.05174,6.6748046875
adult,1,rf,in,MF,-0.069,-0.096,-0.114,0.035,-0.028,-0.007,-0.024,-0.092,-0.094,0.387,0.359,0.405,0.375,0.837988,14354.072265625
adult,1,svm,in,MF,-0.07,-0.096,-0.113,0.039,-0.023,-0.002,-0.016,-0.119,-0.101,0.388,0.36,0.406,0.377,0.260069,6.576171875
adult,1,xgb,in,MF,-0.069,-0.097,-0.113,0.037,-0.03,-0.006,-0.019,-0.121,-0.104,0.388,0.36,0.407,0.377,0.197755,221.7529296875
adult,2,lr,in,MF,-0.068,-0.079,-0.106,0.011,-0.031,-0.021,-0.024,-0.101,-0.1,0.381,0.356,0.405,0.376,0.051838,6.6748046875
adult,2,rf,in,MF,-0.072,-0.092,-0.114,0.008,-0.029,-0.022,-0.029,-0.074,-0.09,0.381,0.356,0.405,0.375,0.804092,14444.228515625
adult,2,svm,in,MF,-0.064,-0.072,-0.101,0.013,-0.025,-0.017,-0.018,-0.072,-0.083,0.381,0.356,0.405,0.375,0.204292,6.576171875
adult,2,xgb,in,MF,-0.065,-0.077,-0.103,0.01,-0.027,-0.02,-0.022,-0.074,-0.086,0.382,0.357,0.406,0.376,0.194044,210.6630859375
adult,3,lr,in,MF,-0.08,-0.095,-0.117,0.021,-0.047,-0.022,-0.036,-0.147,-0.125,0.387,0.364,0.413,0.387,0.045666,6.6748046875
adult,3,rf,in,MF,-0.079,-0.1,-0.119,0.023,-0.065,-0.028,-0.029,-0.201,-0.147,0.386,0.362,0.411,0.385,0.838129,14205.009765625
adult,3,svm,in,MF,-0.076,-0.09,-0.113,0.024,-0.049,-0.021,-0.026,-0.148,-0.12,0.385,0.363,0.413,0.386,0.237189,6.576171875
adult,3,xgb,in,MF,-0.075,-0.092,-0.113,0.025,-0.047,-0.019,-0.025,-0.147,-0.119,0.385,0.362,0.412,0.385,0.192796,223.9404296875
adult,4,lr,in,MF,-0.06,-0.085,-0.103,0.057,-0.026,0.008,0.015,-0.119,-0.085,0.388,0.362,0.409,0.382,0.047712,6.6748046875
adult,4,rf,in,MF,-0.058,-0.095,-0.107,0.058,-0.037,0.004,0.016,-0.147,-0.098,0.385,0.36,0.408,0.38,0.806976,13982.197265625
adult,4,svm,in,MF,-0.057,-0.086,-0.101,0.059,-0.025,0.009,0.021,-0.123,-0.084,0.387,0.362,0.41,0.382,0.229917,6.576171875
adult,4,xgb,in,MF,-0.054,-0.079,-0.096,0.062,-0.031,0.009,0.023,-0.123,-0.082,0.386,0.362,0.409,0.382,0.19658,212.0576171875
adult,5,lr,in,MF,-0.072,-0.099,-0.112,0.034,-0.096,-0.034,-0.015,-0.059,-0.069,0.387,0.364,0.416,0.39,0.04973,6.6748046875
adult,5,rf,in,MF,-0.069,-0.103,-0.112,0.03,-0.096,-0.037,-0.014,-0.028,-0.054,0.386,0.363,0.415,0.388,0.809329,13867.197265625
adult,5,svm,in,MF,-0.07,-0.096,-0.11,0.038,-0.094,-0.031,-0.008,-0.057,-0.064,0.387,0.364,0.416,0.389,0.26451,6.576171875
adult,5,xgb,in,MF,-0.064,-0.09,-0.104,0.034,-0.101,-0.036,-0.004,-0.031,-0.049,0.386,0.363,0.416,0.389,0.191568,211.5927734375
adult,6,lr,in,MF,-0.061,-0.06,-0.094,0.019,0.016,0.001,-0.035,-0.059,-0.086,0.377,0.354,0.404,0.375,0.054697,6.6748046875
adult,6,rf,in,MF,-0.064,-0.078,-0.103,0.016,0.012,-0.002,-0.037,-0.078,-0.096,0.376,0.352,0.402,0.372,0.879081,14178.603515625
adult,6,svm,in,MF,-0.059,-0.059,-0.092,0.022,0.022,0.006,-0.029,-0.036,-0.072,0.377,0.354,0.403,0.375,0.27677,6.576171875
adult,6,xgb,in,MF,-0.06,-0.059,-0.093,0.019,0.022,0.004,-0.032,-0.036,-0.074,0.375,0.352,0.402,0.373,0.192118,224.6064453125
adult,7,lr,in,MF,-0.063,-0.084,-0.102,0.027,-0.027,-0.008,-0.013,-0.084,-0.08,0.393,0.366,0.415,0.387,0.049317,6.6748046875
